Prep,Run,Number,Sample,Cell Line,clid,Timepoint,serum,Harvest,Label_num,Tag,Exp_rep,TMT.Reporter,label,condition,replicate
Prep_07,TMT24,119,P0261,S1,689,48,starve,180809,129,R4,3,TMT24_R4,TMT24_R4,Afat.48.689.starve,3
Prep_07,TMT25,121,P0364,G12,698,0,starve,180905,126,R1,2,TMT25_R1,TMT25_R1,Afat.0.698.starve,2
Prep_07,TMT25,122,P0365,G12,698,4,starve,180905,127,R2,2,TMT25_R2,TMT25_R2,Afat.4.698.starve,2
Prep_07,TMT25,123,P0366,G12,698,24,starve,180906,128,R3,2,TMT25_R3,TMT25_R3,Afat.24.698.starve,2
Prep_07,TMT25,124,P0367,G12,698,48,starve,180907,129,R4,2,TMT25_R4,TMT25_R4,Afat.48.698.starve,2
Prep_07,TMT26,126,P0352,G8,697,0,starve,180825,126,R1,2,TMT26_R1,TMT26_R1,Afat.0.697.starve,2
Prep_07,TMT26,127,P0353,G8,697,4,starve,180825,127,R2,2,TMT26_R2,TMT26_R2,Afat.4.697.starve,2
Prep_07,TMT26,128,P0354,G8,697,24,starve,180826,128,R3,2,TMT26_R3,TMT26_R3,Afat.24.697.starve,2
Prep_07,TMT26,129,P0355,G8,697,48,starve,180827,129,R4,2,TMT26_R4,TMT26_R4,Afat.48.697.starve,2
Prep_07,TMT27,131,P0340,G5,696,0,starve,180906,126,R1,2,TMT27_R1,TMT27_R1,Afat.0.696.starve,2
Prep_07,TMT27,132,P0341,G5,696,4,starve,180906,127,R2,2,TMT27_R2,TMT27_R2,Afat.4.696.starve,2
Prep_07,TMT27,133,P0342,G5,696,24,starve,180907,128,R3,2,TMT27_R3,TMT27_R3,Afat.24.696.starve,2
Prep_07,TMT27,134,P0343,G5,696,48,starve,180908,129,R4,2,TMT27_R4,TMT27_R4,Afat.48.696.starve,2
Prep_08,TMT28,136,P0328,G1,695,0,starve,180825,126,R1,2,TMT28_R1,TMT28_R1,Afat.0.695.starve,2
Prep_08,TMT28,137,P0329,G1,695,4,starve,180825,127,R2,2,TMT28_R2,TMT28_R2,Afat.4.695.starve,2
Prep_08,TMT28,138,P0330,G1,695,24,starve,180826,128,R3,2,TMT28_R3,TMT28_R3,Afat.24.695.starve,2
Prep_08,TMT28,139,P0331,G1,695,48,starve,180827,129,R4,2,TMT28_R4,TMT28_R4,Afat.48.695.starve,2
Prep_08,TMT29,141,P0200,E5,694,0,starve,180723,126,R1,2,TMT29_R1,TMT29_R1,Afat.0.694.starve,2
Prep_08,TMT29,142,P0201,E5,694,4,starve,180723,127,R2,2,TMT29_R2,TMT29_R2,Afat.4.694.starve,2
Prep_08,TMT29,143,P0202,E5,694,24,starve,180724,128,R3,2,TMT29_R3,TMT29_R3,Afat.24.694.starve,2
Prep_08,TMT29,144,P0203,E5,694,48,starve,180725,129,R4,2,TMT29_R4,TMT29_R4,Afat.48.694.starve,2
Prep_08,TMT30,146,P0185,E4,693,0,starve,180723,126,R1,2,TMT30_R1,TMT30_R1,Afat.0.693.starve,2
Prep_08,TMT30,147,P0186,E4,693,4,starve,180723,127,R2,2,TMT30_R2,TMT30_R2,Afat.4.693.starve,2
Prep_08,TMT30,148,P0187,E4,693,24,starve,180724,128,R3,2,TMT30_R3,TMT30_R3,Afat.24.693.starve,2
Prep_08,TMT30,149,P0188,E4,693,48,starve,180725,129,R4,2,TMT30_R4,TMT30_R4,Afat.48.693.starve,2
Prep_08,TMT31,151,P0278,GR7,691,0,starve,180804,126,R1,2,TMT31_R1,TMT31_R1,Afat.0.691.starve,2
Prep_08,TMT31,152,P0279,GR7,691,4,starve,180804,127,R2,2,TMT31_R2,TMT31_R2,Afat.4.691.starve,2
Prep_08,TMT31,153,P0280,GR7,691,24,starve,180805,128,R3,2,TMT31_R3,TMT31_R3,Afat.24.691.starve,2
Prep_08,TMT31,154,P0281,GR7,691,48,starve,180806,129,R4,2,TMT31_R4,TMT31_R4,Afat.48.691.starve,2
Prep_09,TMT32,156,P0266,GR1,690,0,starve,180804,126,R1,2,TMT32_R1,TMT32_R1,Afat.0.690.starve,2
Prep_09,TMT32,157,P0267,GR1,690,4,starve,180804,127,R2,2,TMT32_R2,TMT32_R2,Afat.4.690.starve,2
Prep_09,TMT32,158,P0268,GR1,690,24,starve,180805,128,R3,2,TMT32_R3,TMT32_R3,Afat.24.690.starve,2
Prep_09,TMT32,159,P0269,GR1,690,48,starve,180806,129,R4,2,TMT32_R4,TMT32_R4,Afat.48.690.starve,2
Prep_09,TMT33,161,P0254,S1,689,0,starve,180806,126,R1,2,TMT33_R1,TMT33_R1,Afat.0.689.starve,2
Prep_09,TMT33,162,P0255,S1,689,4,starve,180806,127,R2,2,TMT33_R2,TMT33_R2,Afat.4.689.starve,2
Prep_09,TMT33,163,P0256,S1,689,24,starve,180807,128,R3,2,TMT33_R3,TMT33_R3,Afat.24.689.starve,2
Prep_09,TMT33,164,P0257,S1,689,48,starve,180808,129,R4,2,TMT33_R4,TMT33_R4,Afat.48.689.starve,2
Prep_09,TMT34,166,P0360,G12,698,0,starve,180826,126,R1,1,TMT34_R1,TMT34_R1,Afat.0.698.starve,1
Prep_09,TMT34,167,P0361,G12,698,4,starve,180826,127,R2,1,TMT34_R2,TMT34_R2,Afat.4.698.starve,1
Prep_09,TMT34,168,P0362,G12,698,24,starve,180827,128,R3,1,TMT34_R3,TMT34_R3,Afat.24.698.starve,1
