"","x"
"673","Tcaf1"
"674","Tcea3"
"675","Tcf4"
"676","Tcf7"
"677","Tec"
"678","Tenm3"
"679","Tesmin"
"680","Tex15"
"681","Tgfb1i1"
"682","Thbs3"
"683","Thnsl2"
"684","Thpo"
"685","Thsd1"
"686","Tia1"
"687","Timp3"
"688","Tlr4"
"689","Tm6sf2"
"690","Tmc4"
"691","Tmco6"
"692","Tmem143"
"693","Tmem145"
"694","Tmem19"
"695","Tmem191"
"696","Tmem198b"
"697","Tmem253"
"698","Tmem255a"
"699","Tmem80"
"700","Tmie"
"701","Tnip1"
"702","Tnr"
"703","Tns2"
"704","Tob1"
"705","Trim13"
"706","Trim7"
"707","Triqk"
"708","Trp53inp2"
"709","Trpt1"
"710","Trpv2"
"711","Tsc22d3"
"712","Tsga10"
"713","Tshz1"
"714","Tspan17"
"715","Tspan3"
"716","Tspyl1"
"717","Tspyl4"
"718","Tstd1"
"719","Ttc38"
"720","Ttll7"
"721","Tuba8"
"722","Tubb2a"
"723","Tubb2b"
"724","Tulp4"
"725","Tyro3"
"726","Ube2h"
"727","Ugcg"
"728","Ulk2"
"729","Uqcc3"
"730","Ush1g"
"731","Ushbp1"
"732","Usp35"
"733","Utrn"
"734","Vcam1"
"735","Vcan"
"736","Vegfd"
"737","Vill"
"738","Vim"
"739","Vmac"
"740","Vtn"
"741","Wdr13"
"742","Wdr91"
"743","Wnk4"
"744","Wnt2b"
"745","Wnt4"
"746","Wnt5b"
"747","Wtip"
"748","Xntrpc"
"749","Ythdc1"
"750","Zbtb20"
"751","Zbtb4"
"752","Zer1"
"753","Zfand1"
"754","Zfp108"
"755","Zfp112"
"756","Zfp14"
"757","Zfp174"
"758","Zfp229"
"759","Zfp28"
"760","Zfp287"
"761","Zfp296"
"762","Zfp30"
"763","Zfp316"
"764","Zfp354c"
"765","Zfp455"
"766","Zfp456"
"767","Zfp524"
"768","Zfp536"
"769","Zfp579"
"770","Zfp580"
"771","Zfp60"
"772","Zfp618"
"773","Zfp661"
"774","Zfp667"
"775","Zfp708"
"776","Zfp750"
"777","Zfp78"
"778","Zfp866"
"779","Zfp874a"
"780","Zfp879"
"781","Zfp882"
"782","Zfp945"
"783","Zfp968"
"784","Zfp974"
"785","Zfyve1"
"786","Zhx1"
"787","Zmat1"
"788","Zmym6"
"789","Zscan26"
