"","x"
"498","Rhof"
"499","Ric3"
"500","Riok2"
"501","Rpa1"
"502","Rpl7l1"
"503","Rpn2"
"504","Rpp30"
"505","Rps6ka3"
"506","Rps6ka4"
"507","Rrp9"
"508","Rwdd4a"
"509","Samd4b"
"510","Sarnp"
"511","Sash3"
"512","Scd4"
"513","Scn5a"
"514","Sdad1"
"515","Sec1"
"516","Sec11c"
"517","Sec13"
"518","Sec23b"
"519","Sec24d"
"520","Sec61b"
"521","Selenoh"
"522","Selenoi"
"523","Selenos"
"524","Selp"
"525","Senp1"
"526","Sephs2"
"527","Serp1"
"528","Sestd1"
"529","Sf3a2"
"530","Sf3b4"
"531","Sfxn5"
"532","Sgk2"
"533","Sgms2"
"534","Sh2d4a"
"535","Sh3pxd2a"
"536","Sh3yl1"
"537","Siah1b"
"538","Siah2"
"539","Slbp"
"540","Slc14a1"
"541","Slc16a1"
"542","Slc19a1"
"543","Slc1a4"
"544","Slc1a5"
"545","Slc1a7"
"546","Slc20a1"
"547","Slc25a29"
"548","Slc25a33"
"549","Slc25a5"
"550","Slc2a1"
"551","Slc30a4"
"552","Slc35g1"
"553","Slc37a2"
"554","Slc38a2"
"555","Slc39a14"
"556","Slc47a1"
"557","Slc5a1"
"558","Slc7a11"
"559","Slc7a6"
"560","Slc9a2"
"561","Slf1"
"562","Slfn3"
"563","Slk"
"564","Sltm"
"565","Smn1"
"566","Sms"
"567","Smurf1"
"568","Snrpc"
"569","Soat2"
"570","Socs1"
"571","Sorbs2"
"572","Sox8"
"573","Sp8"
"574","Spcs2"
"575","Specc1"
"576","Spink10"
"577","Spire2"
"578","Spp1"
"579","Spsb4"
"580","Srsf1"
"581","Srsf2"
"582","Srsf3"
"583","Srsf7"
"584","Ssb"
"585","Ssr1"
"586","Ssr2"
"587","Sstr5"
"588","Ssx2ip"
"589","Stn1"
"590","Stt3a"
"591","Sult2b1"
"592","Surf4"
"593","Suv39h1"
"594","Sybu"
"595","Syt7"
"596","Szrd1"
"597","Taf15"
"598","Taf4b"
"599","Taf5"
"600","Taf7l"
"601","Tardbp"
"602","Tasor2"
"603","Tatdn2"
"604","Tbc1d30"
"605","Tbc1d31"
"606","Tbrg4"
"607","Tcam1"
"608","Tdg"
"609","Tfrc"
"610","Tgif1"
"611","Thoc3"
"612","Thop1"
"613","Thyn1"
"614","Timm10"
"615","Timm23"
"616","Timm50"
"617","Tkt"
"618","Tlcd3a"
"619","Tlcd4"
"620","Tm4sf1"
"621","Tma16"
"622","Tmed5"
"623","Tmem144"
"624","Tmem158"
"625","Tmem183a"
"626","Tmem254"
"627","Tmem39b"
"628","Tmem50b"
"629","Tmem74"
"630","Tnfrsf22"
"631","Tnfrsf23"
"632","Tns1"
"633","Tom1l1"
"634","Tomm40"
"635","Tomm5"
"636","Tpst2"
"637","Tra2a"
"638","Traf3"
"639","Tram1"
"640","Trib3"
"641","Trim47"
"642","Trim66"
"643","Trmt61a"
