"","x"
"487","Mertk"
"488","Mettl27"
"489","Mfsd12"
"490","Mfsd4b1"
"491","Mgarp"
"492","Mgst1"
"493","Mindy1"
"494","Mkx"
"495","Mlycd"
"496","Mme"
"497","Mmp11"
"498","Mmp19"
"499","Mmp23"
"500","Mmp28"
"501","Mobp"
"502","Mr1"
"503","Mrgprb5"
"504","Mrgpre"
"505","Mst1r"
"506","Mt2"
"507","Mtss2"
"508","Mturn"
"509","Mtus1"
"510","Mx1"
"511","Mx2"
"512","Mxd1"
"513","Mxd4"
"514","Mxra8"
"515","Myh14"
"516","Myh7b"
"517","Mylk"
"518","Myo18b"
"519","Myo5c"
"520","Myo7a"
"521","Myom3"
"522","N4bp2l1"
"523","Naa80"
"524","Naga"
"525","Naglu"
"526","Napb"
"527","Narf"
"528","Nat8f1"
"529","Nat8f4"
"530","Nbl1"
"531","Nceh1"
"532","Nckap5"
"533","Ndrg1"
"534","Ndrg4"
"535","Nectin4"
"536","Nedd9"
"537","Negr1"
"538","Neurl2"
"539","Nfkbia"
"540","Nipal3"
"541","Nme5"
"542","Nol3"
"543","Notch1"
"544","Notch2"
"545","Notch3"
"546","Nova2"
"547","Noxo1"
"548","Npc1"
"549","Npr2"
"550","Nrbp2"
"551","Nrep"
"552","Nscme3l"
"553","Nsg2"
"554","Nt5e"
"555","Ntrk3"
"556","Nudt13"
"557","Nudt16"
"558","Numbl"
"559","Nwd1"
"560","Nynrin"
"561","Nyx"
"562","Oas1a"
"563","Oas1b"
"564","Oas1c"
"565","Oasl2"
"566","Ogdhl"
"567","Ogn"
"568","Ogt"
"569","Olfm2"
"570","Olfml1"
"571","Olfml2a"
"572","Olfml3"
"573","Opcml"
"574","Optn"
"575","Or4c102"
"576","Or4p4"
"577","Orai3"
"578","Osmr"
"579","Osr2"
"580","Oxld1"
"581","P2rx6"
"582","Pacsin1"
"583","Pappa"
"584","Pappa2"
"585","Paqr7"
"586","Parp10"
"587","Parp12"
"588","Parp14"
"589","Parp9"
"590","Patj"
"591","Paxx"
"592","Pbx4"
"593","Pbxip1"
"594","Pcdha9"
"595","Pcdhb10"
"596","Pcdhb11"
"597","Pcdhb12"
"598","Pcdhb13"
"599","Pcdhb14"
"600","Pcdhb15"
"601","Pcdhb16"
"602","Pcdhb17"
"603","Pcdhb18"
"604","Pcdhb19"
"605","Pcdhb20"
"606","Pcdhb21"
"607","Pcdhb22"
"608","Pcdhb3"
"609","Pcdhb4"
"610","Pcdhb5"
"611","Pcdhb6"
"612","Pcdhb7"
"613","Pcdhb8"
"614","Pcdhb9"
"615","Pcdhga1"
"616","Pcdhga12"
"617","Pcdhga6"
"618","Pcdhgb8"
"619","Pcmtd2"
"620","Pcsk4"
"621","Pdcd4"
"622","Pde4a"
"623","Pde4d"
"624","Pdgfrb"
"625","Pdk1"
"626","Pdk2"
"627","Pdk4"
"628","Pdzd7"
"629","Pdzrn3"
"630","Peli3"
"631","Per3"
"632","Perm1"
"633","Pex5l"
"634","Pgap6"
"635","Phyh"
"636","Phyhd1"
"637","Pianp"
"638","Pierce1"
"639","Pierce2"
"640","Pigc"
"641","Pigp"
"642","Pik3ip1"
"643","Pik3r3"
"644","Pink1"
"645","Pip5k1b"
"646","Pipox"
"647","Pitpnm3"
"648","Pkd2l2"
"649","Plbd2"
"650","Plcb4"
"651","Plcd4"
"652","Pld3"
"653","Plekha4"
"654","Plekha5"
"655","Plekhg5"
"656","Plekhn1"
"657","Plin2"
"658","Plin3"
"659","Plin4"
"660","Plp1"
"661","Pltp"
"662","Plxnb3"
"663","Pmm1"
"664","Pnma8b"
"665","Pnpla7"
"666","Pnrc1"
"667","Podn"
"668","Podxl2"
"669","Polg2"
"670","Porcn"
"671","Pou6f1"
"672","Ppargc1a"
"673","Ppfibp2"
"674","Ppm1k"
"675","Ppp1r16b"
"676","Ppp1r3c"
"677","Prelp"
"678","Prkce"
"679","Prkd2"
"680","Prnp"
"681","Pros1"
"682","Prrg2"
"683","Prrt2"
"684","Prtg"
"685","Prune1"
"686","Psap"
"687","Psmb8"
"688","Psmb9"
"689","Ptgds"
"690","Ptprv"
"691","Pygo1"
"692","Rab3il1"
"693","Rab40b"
"694","Rad9b"
"695","Ralgds"
"696","Ralgps1"
"697","Rapsn"
"698","Rarres2"
"699","Rasl12"
"700","Rassf4"
"701","Rbm24"
"702","Rdh9"
"703","Rdm1"
"704","Reep2"
"705","Relb"
"706","Rell2"
"707","Resf1"
"708","Rev3l"
"709","Rfx5"
"710","Rgcc"
