"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"C8g",0,0,0,1
"Cabp2",0,1,0,0
"Cacna1a",0,0,0,1
"Cacna1h",0,1,0,1
"Cacna2d3",0,0,1,0
"Cacnb1",0,0,0,1
"Cacnb3",0,0,0,1
"Cacng7",0,1,0,0
"Cacng8",0,0,1,0
"Cacybp",0,0,1,0
"Cad",1,0,1,0
"Cadm4",0,1,0,1
"Calcoco1",0,1,0,1
"Calcrl",0,0,1,0
"Calm1",1,0,1,0
"Calr",1,0,1,0
"Calr3",0,0,1,0
"Camk1d",0,0,0,1
"Camk1g",0,1,0,1
"Camk2b",0,0,0,1
"Camk2n1",0,1,0,1
"Capn1",0,0,0,1
"Capn6",0,0,0,1
"Capns1",1,0,1,0
"Caprin2",0,1,0,1
"Car11",0,1,0,1
"Car12",0,0,1,0
"Car5b",0,0,0,1
"Car7",0,0,0,1
"Card10",0,0,1,0
"Card14",1,0,1,0
"Carmil1",0,1,0,1
"Carmil3",0,1,0,1
"Carns1",0,0,0,1
"Caskin1",0,0,0,1
"Casp1",0,1,0,1
"Casp12",0,1,0,1
"Casp4",0,1,0,0
"Casp8ap2",0,0,1,0
"Casq2",0,1,0,1
"Casr",0,1,0,1
"Castor2",0,0,0,1
"Catsper2",0,0,0,1
"Catsperg1",0,0,0,1
"Cav1",1,0,0,0
"Cavin1",1,0,0,0
"Cbfa2t3",0,0,0,1
"Cbln1",1,0,1,0
"Cbln3",0,0,0,1
"Cbx5",1,0,0,0
"Cbx6",1,0,1,0
"Cbx7",0,0,0,1
"Ccbe1",1,0,1,0
"Ccdc13",0,1,0,1
"Ccdc148",0,0,0,1
"Ccdc159",0,0,0,1
"Ccdc17",0,1,0,1
"Ccdc18",0,0,1,0
"Ccdc194",0,1,0,1
"Ccdc24",0,0,0,1
"Ccdc3",0,1,0,1
"Ccdc34",1,0,1,0
"Ccdc39",0,0,0,1
"Ccdc65",0,0,0,1
"Ccdc73",0,1,0,1
"Ccdc80",0,0,0,1
"Ccdc86",1,0,1,0
"Ccdc87",0,0,0,1
"Ccdc88c",0,0,1,0
"Ccdc91",0,0,1,0
"Ccdc92b",0,1,0,1
"Ccl17",0,0,1,0
"Ccl2",0,1,0,1
"Ccl27a",0,0,0,1
"Ccl5",0,1,0,0
"Ccl7",0,0,0,1
"Ccn1",0,0,0,1
"Ccn4",0,0,0,1
"Ccn5",0,1,0,0
"Ccna2",1,0,1,0
"Ccnb1",1,0,1,0
"Ccnb2",1,0,1,0
"Ccnd1",1,0,1,0
"Ccndbp1",0,0,0,1
"Ccne1",1,0,1,0
"Ccne2",1,0,1,0
"Ccnf",1,0,1,0
"Ccng1",0,0,0,1
"Ccnl2",0,0,0,1
"Ccno",0,1,0,1
"Ccnyl1",1,0,1,0
"Ccp110",0,0,1,0
"Ccpg1",0,1,0,1
"Ccrl2",0,1,0,0
"Ccsap",1,0,1,0
"Cct3",0,0,1,0
"Cct6a",0,0,1,0
"Cct8",0,0,1,0
"Cd109",0,1,0,1
"Cd1d1",0,1,0,1
"Cd200",0,0,1,0
"Cd247",0,1,0,0
"Cd24a",1,0,0,0
"Cd274",0,1,0,0
"Cd276",0,0,1,0
"Cd300lb",1,0,1,0
"Cd33",0,1,0,0
"Cd34",0,1,0,0
"Cd46",0,0,0,1
"Cd47",0,1,0,0
"Cd59a",0,0,0,1
"Cd68",0,1,0,1
"Cd74",0,1,0,0
"Cd79a",0,1,0,1
"Cd80",0,1,0,1
"Cd81",0,0,0,1
"Cd99l2",0,0,0,1
"Cda",0,1,0,0
"Cdc20",1,0,1,0
"Cdc25b",1,0,1,0
"Cdc25c",1,0,1,0
"Cdc42bpg",0,1,0,1
"Cdc42ep1",1,0,1,0
"Cdc42ep2",0,0,0,1
"Cdc42ep3",1,0,0,0
"Cdc45",1,0,1,0
"Cdc6",1,0,1,0
"Cdc7",1,0,1,0
"Cdca2",1,0,1,0
"Cdca3",1,0,1,0
"Cdca4",0,0,1,0
"Cdca5",1,0,1,0
"Cdca7",0,0,1,0
"Cdca7l",0,0,1,0
"Cdca8",1,0,1,0
"Cdcp3",0,0,1,0
"Cdh13",0,0,0,1
"Cdh22",0,0,0,1
"Cdh23",1,0,1,0
"Cdh5",1,0,1,0
"Cdh6",1,0,1,0
"Cdiptos",0,1,0,0
"Cdk1",1,0,1,0
"Cdk19",0,1,0,1
"Cdk2",0,0,1,0
"Cdk6",1,0,1,0
"Cdkn1a",0,0,0,1
"Cdkn1b",0,0,0,1
"Cdkn3",1,0,1,0
"Cdr2",1,0,1,0
"Cdsn",0,0,1,0
"Cdt1",1,0,1,0
"Cdv3",0,0,1,0
"Cebpa",0,1,0,1
"Cebpb",0,1,0,0
"Cebpd",0,1,0,1
"Celf5",0,1,0,1
"Celsr3",0,0,0,1
"Cemip",1,0,1,0
"Cenpa",1,0,1,0
"Cenpe",1,0,1,0
"Cenpf",1,0,1,0
"Cenph",1,0,1,0
"Cenpi",1,0,1,0
"Cenpk",1,0,1,0
"Cenpl",1,0,1,0
"Cenpm",1,0,1,0
"Cenpn",1,0,1,0
"Cenpp",1,0,1,0
"Cenpq",1,0,1,0
"Cenps",1,0,1,0
"Cenpu",1,0,1,0
"Cenpw",1,0,1,0
"Cenpx",0,0,1,0
"Cep126",0,0,1,0
"Cep128",0,0,1,0
"Cep152",1,0,1,0
"Cep192",1,0,1,0
"Cep295",0,0,1,0
"Cep55",1,0,1,0
"Cep78",0,0,1,0
"Cep85",0,0,1,0
"Cers1",0,1,0,1
"Ces1a",0,1,0,0
"Cfap100",0,0,0,1
"Cfap298",0,0,1,0
"Cfap43",0,0,0,1
"Cfap46",0,0,0,1
"Cfap97d2",0,0,0,1
"Cfh",0,1,0,0
"Cgas",0,0,1,0
"Cgnl1",1,0,1,0
"Chac1",0,0,1,0
"Chaf1a",1,0,1,0
"Chaf1b",1,0,1,0
"Chchd10",0,1,0,1
"Chchd4",0,0,1,0
"Chchd5",0,0,0,1
"Chd3",0,0,0,1
"Chd5",0,0,1,0
"Chek1",1,0,1,0
"Chek2",1,0,1,0
"Chka",1,0,1,0
"Chpf",0,0,1,0
"Chrd",0,1,0,1
"Chrdl1",0,0,1,0
"Chrna1",1,0,1,0
"Chrnb1",0,0,1,0
"Chrnb2",0,1,0,1
"Chrnd",0,0,1,0
"Chrng",0,1,0,1
"Chst1",1,0,1,0
"Chst11",1,0,1,0
"Chst15",1,0,1,0
"Chst2",0,1,0,1
"Chst3",1,0,1,0
"Chsy1",0,0,1,0
"Chtf18",1,0,1,0
"Ciapin1",0,0,1,0
"Ciart",1,0,1,0
"Cib2",0,0,0,1
"Cib3",0,0,0,1
"Cibar2",0,0,0,1
"Cideb",0,1,0,1
"Ciita",0,0,1,0
"Cinp",1,0,1,0
"Cip2a",1,0,1,0
"Cir1",0,1,0,1
"Cirbp",0,0,0,1
"Cit",0,0,1,0
"Ckap2",1,0,1,0
"Ckap2l",1,0,1,0
"Ckap5",0,0,1,0
"Ckb",0,1,0,1
"Cks1b",1,0,1,0
"Cks2",1,0,1,0
"Clcn2",0,1,0,1
"Cldn12",0,0,1,0
"Cldn19",0,0,0,1
"Cldn2",0,1,0,0
"Clec2d",0,1,0,1
"Clec4d",1,0,1,0
"Clgn",1,0,1,0
"Clic5",0,1,0,1
"Clip3",0,0,0,1
"Clk1",0,1,0,1
"Cln6",0,1,0,1
"Clns1a",0,0,1,0
"Clpb",0,0,1,0
"Clspn",1,0,1,0
"Clu",0,1,0,1
"Cma2",0,1,0,0
"Cmah",0,0,1,0
"Cmc2",1,0,1,0
"Cmpk2",0,1,0,0
"Cmss1",0,0,1,0
"Cnbd2",0,1,0,1
"Cnbp",0,0,1,0
"Cndp2",0,1,0,0
"Cnih2",0,0,0,1
"Cnnm4",0,0,1,0
"Cnot9",0,0,1,0
"Cnp",0,0,0,1
"Cnppd1",0,1,0,1
