"","Afatinib.down","Afatinib.up","Neratinib.down","Neratinib.up"
"Meis3",0,1,0,1
"Melk",1,0,1,0
"Mep1a",0,1,0,1
"Mertk",0,1,0,1
"Mest",1,0,1,0
"Met",0,0,1,0
"Mettl1",0,0,1,0
"Mettl21a",0,0,0,1
"Mettl27",0,1,0,1
"Mfsd12",0,1,0,1
"Mfsd13b",0,1,0,0
"Mfsd2a",1,0,1,0
"Mfsd4b1",0,1,0,1
"Mgarp",0,1,0,1
"Mgat3",0,0,0,1
"Mgat4a",1,0,1,0
"Mgme1",1,0,1,0
"Mgst1",0,1,0,1
"Mical1",0,0,0,1
"Micall2",1,0,1,0
"Mid1ip1",1,0,0,0
"Midn",0,0,0,1
"Miga1",0,0,0,1
"Mindy1",0,1,0,1
"Mindy2",0,0,0,1
"Mindy4",0,0,0,1
"Mis12",1,0,1,0
"Mis18a",1,0,1,0
"Mis18bp1",1,0,1,0
"Mki67",1,0,1,0
"Mkrn3",0,0,0,1
"Mkx",0,1,0,1
"Mlec",1,0,1,0
"Mlf1",1,0,1,0
"Mlkl",0,0,1,0
"Mllt3",0,0,0,1
"Mlycd",0,1,0,1
"Mmab",1,0,0,0
"Mmd",1,0,0,0
"Mme",0,1,0,1
"Mmp11",0,1,0,1
"Mmp15",0,0,0,1
"Mmp19",0,1,0,1
"Mmp23",0,1,0,1
"Mmp28",0,1,0,1
"Mms22l",1,0,1,0
"Mnd1",1,0,1,0
"Mndal",0,1,0,0
"Mns1",1,0,1,0
"Mob3a",1,0,0,0
"Mobp",0,1,0,1
"Mocos",0,1,0,0
"Mogat1",0,0,1,0
"Morn2",0,0,0,1
"Mpeg1",0,1,0,0
"Mphosph10",1,0,1,0
"Mphosph6",0,0,1,0
"Mpp2",0,0,0,1
"Mpp7",0,0,0,1
"Mppe1",0,1,0,0
"Mr1",0,1,0,1
"Mrc2",0,0,0,1
"Mre11a",1,0,1,0
"Mreg",0,0,1,0
"Mrgprb5",0,1,0,1
"Mrgpre",0,1,0,1
"Mrpl12",0,0,1,0
"Mrpl42",0,0,1,0
"Mrps10",0,0,1,0
"Mrps22",0,0,1,0
"Mrps27",0,0,1,0
"Mrps6",1,0,1,0
"Mrto4",1,0,1,0
"Ms4a4d",0,1,0,0
"Msantd3",0,0,1,0
"Msh3",0,0,1,0
"Msh6",0,0,1,0
"Msln",1,0,0,0
"Msmo1",1,0,1,0
"Mst1",0,0,1,0
"Mst1r",0,1,0,1
"Mt1",0,0,0,1
"Mt2",0,1,0,1
"Mt3",0,0,1,0
"Mtbp",1,0,1,0
"Mtfr2",1,0,1,0
"Mthfd1",1,0,1,0
"Mthfd1l",1,0,1,0
"Mthfd2",1,0,1,0
"Mtmr10",1,0,1,0
"Mtmr11",0,0,0,1
"Mtss1",0,0,0,1
"Mtss2",0,1,0,1
"Mturn",0,1,0,1
"Mtus1",0,1,0,1
"Mtus2",0,1,0,0
"Mutyh",1,0,1,0
"Mvd",1,0,1,0
"Mvk",1,0,1,0
"Mvp",0,0,0,1
"Mx1",0,1,0,1
"Mx2",0,1,0,1
"Mxd1",0,1,0,1
"Mxd3",1,0,1,0
"Mxd4",0,1,0,1
"Mxi1",0,0,0,1
"Mxra8",0,1,0,1
"Mybbp1a",0,0,1,0
"Mybl1",1,0,1,0
"Mybl2",1,0,1,0
"Myc",1,0,1,0
"Mycbp",0,0,1,0
"Mydgf",0,0,1,0
"Myef2",1,0,1,0
"Myef2l",1,0,1,0
"Myh14",0,1,0,1
"Myh7b",0,1,0,1
"Myl12a",1,0,1,0
"Mylip",0,0,0,1
"Mylk",0,1,0,1
"Myo10",0,0,0,1
"Myo18b",0,1,0,1
"Myo1d",0,1,0,0
"Myo5c",0,1,0,1
"Myo6",0,0,0,1
"Myo7a",0,1,0,1
"Myof",0,0,1,0
"Myom2",0,0,1,0
"Myom3",0,1,0,1
"Myorg",0,0,0,1
"N4bp2l1",0,1,0,1
"Naa15",1,0,1,0
"Naa25",1,0,1,0
"Naa50",0,0,1,0
"Naa80",0,1,0,1
"Naaladl1",1,0,1,0
"Nacad",0,0,0,1
"Naga",0,1,0,1
"Naglu",0,1,0,1
"Nans",1,0,1,0
"Nap1l3",0,0,0,1
"Napb",0,1,0,1
"Napepld",0,0,0,1
"Narf",0,1,0,1
"Nasp",1,0,1,0
"Nat14",0,0,0,1
"Nat8f1",0,1,0,1
"Nat8f4",0,1,0,1
"Nat8l",0,0,1,0
"Natd1",0,0,0,1
"Nbl1",0,1,0,1
"Ncald",0,0,0,1
"Ncam1",0,0,0,1
"Ncapd2",1,0,1,0
"Ncapd3",1,0,1,0
"Ncapg",1,0,1,0
"Ncapg2",1,0,1,0
"Ncaph",1,0,1,0
"Nceh1",0,1,0,1
"Nckap5",0,1,0,1
"Ncl",0,0,1,0
"Ndc1",1,0,1,0
"Ndc80",1,0,1,0
"Nde1",1,0,1,0
"Ndrg1",0,1,0,1
"Ndrg4",0,1,0,1
"Ndst2",0,0,0,1
"Ndst3",1,0,1,0
"Ndufaf4",0,0,1,0
"Nebl",1,0,0,0
"Nectin4",0,1,0,1
"Nedd9",0,1,0,1
"Negr1",0,1,0,1
"Neil3",1,0,1,0
"Nek2",1,0,1,0
"Nek8",0,0,0,1
"Nemp2",0,0,0,1
"Nes",1,0,1,0
"Neurl1b",1,0,1,0
"Neurl2",0,1,0,1
"Nfatc4",0,0,0,1
"Nfe2l3",0,0,1,0
"Nfkbia",0,1,0,1
"Nfkbie",0,1,0,0
"Ngef",1,0,1,0
"Ngf",1,0,1,0
"Ngfr",1,0,1,0
"Nhej1",0,0,0,1
"Nhlrc3",0,1,0,0
"Nhp2",1,0,1,0
"Nicn1",0,0,0,1
"Nid1",0,1,0,0
"Nif3l1",0,0,1,0
"Nifk",1,0,1,0
"Nip7",0,0,1,0
"Nipal1",1,0,0,0
"Nipal3",0,1,0,1
"Nipal4",0,0,0,1
"Nkain2",0,0,0,1
"Nkrf",0,0,1,0
"Nlgn2",0,1,0,0
"Nlrc3",0,0,1,0
"Nlrx1",0,0,0,1
"Nmd3",0,0,1,0
"Nme1",1,0,1,0
"Nme5",0,1,0,1
"Nmi",0,1,0,0
"Nmrk2",0,1,0,0
"Nmt2",0,0,1,0
"Nnt",1,0,0,0
"Noc3l",1,0,1,0
"Noc4l",0,0,1,0
"Noct",1,0,1,0
"Nod1",0,0,0,1
"Nol10",1,0,1,0
"Nol11",0,0,1,0
"Nol3",0,1,0,1
"Nol8",0,0,1,0
"Nol9",1,0,1,0
"Nolc1",1,0,1,0
"Nop16",1,0,1,0
"Nop2",1,0,1,0
"Nop56",1,0,1,0
"Nop58",1,0,1,0
"Notch1",0,1,0,1
"Notch2",0,1,0,1
"Notch3",0,1,0,1
"Nova1",0,0,1,0
"Nova2",0,1,0,1
"Noxo1",0,1,0,1
"Npc1",0,1,0,1
"Npdc1",0,0,0,1
"Npepps",0,0,0,1
"Nphp4",0,0,1,0
"Npnt",1,0,1,0
"Nppb",1,0,1,0
"Npr2",0,1,0,1
"Nptx1",1,0,1,0
"Nptxr",1,0,1,0
"Nqo1",0,0,1,0
"Nr1d1",0,0,0,1
"Nr1h3",0,0,0,1
"Nr2e1",0,0,0,1
"Nr4a1",1,0,0,0
"Nradd",0,0,0,1
"Nrbp2",0,1,0,1
"Nrep",0,1,0,1
"Nrn1",1,0,1,0
"Nrp1",1,0,0,0
"Nrp2",0,0,1,0
"Nrxn1",0,1,0,0
"Nrxn2",0,1,0,0
"Nscme3l",0,1,0,1
"Nsd2",0,0,1,0
"Nsdhl",1,0,1,0
"Nsg2",0,1,0,1
"Nsl1",1,0,1,0
"Nsun2",0,0,1,0
"Nt5e",0,1,0,1
"Ntn4",0,0,0,1
"Ntng2",0,1,0,0
"Ntrk3",0,1,0,1
"Nuak2",0,0,0,1
"Nucb2",0,0,1,0
"Nucks1",1,0,1,0
"Nudc",0,0,1,0
"Nudcd1",0,0,1,0
"Nudcd2",0,0,1,0
"Nudt1",0,0,1,0
"Nudt13",0,1,0,1
"Nudt15",0,0,1,0
"Nudt16",0,1,0,1
"Nuf2",1,0,1,0
"Numbl",0,1,0,1
"Nup107",1,0,1,0
"Nup133",1,0,1,0
"Nup155",1,0,1,0
"Nup188",0,0,1,0
"Nup205",1,0,1,0
"Nup210l",0,0,1,0
"Nup35",0,0,1,0
"Nup37",0,0,1,0
"Nup43",1,0,1,0
"Nup50",0,0,1,0
"Nup54",0,0,1,0
"Nup62",1,0,1,0
"Nup85",1,0,1,0
"Nup93",1,0,1,0
"Nupr1",0,0,1,0
"Nus1",0,0,1,0
"Nusap1",1,0,1,0
"Nutf2",1,0,1,0
"Nwd1",0,1,0,1
"Nxph4",0,0,1,0
"Nxt1",0,0,1,0
"Nynrin",0,1,0,1
"Nyx",0,1,0,1
"Oas1a",0,1,0,1
"Oas1b",0,1,0,1
"Oas1c",0,1,0,1
"Oas1g",0,1,0,0
"Oas2",0,1,0,0
"Oasl1",0,1,0,0
"Oasl2",0,1,0,1
"Odad3",0,0,0,1
"Odc1",1,0,1,0
"Odf2",0,0,1,0
"Ogdhl",0,1,0,1
"Ogn",0,1,0,1
"Ogt",0,1,0,1
"Oip5",1,0,1,0
"Olfm2",0,1,0,1
"Olfml1",0,1,0,1
"Olfml2a",0,1,0,1
"Olfml2b",0,0,0,1
"Olfml3",0,1,0,1
"Olig2",1,0,1,0
"Opcml",0,1,0,1
"Oplah",0,0,0,1
"Opn1sw",0,0,0,1
"Optn",0,1,0,1
"Or2ag2b",0,1,0,0
"Or2v1",0,1,0,0
"Or4c102",0,1,0,1
"Or4p4",0,1,0,1
"Orai3",0,1,0,1
"Orc1",1,0,1,0
"Orc2",1,0,1,0
"Orc6",1,0,1,0
"Orm3",0,1,0,0
"Ormdl2",0,0,1,0
"Os9",0,0,0,1
"Osbp2",0,0,0,1
"Osbpl6",1,0,1,0
"Osmr",0,1,0,1
"Osr2",0,1,0,1
"Ostc",0,0,1,0
"Ostn",0,1,0,0
"Otud1",1,0,1,0
"Otud4",1,0,1,0
"Otx1",0,0,0,1
"Oxct1",1,0,0,0
"Oxld1",0,1,0,1
"P2rx3",0,0,1,0
"P2rx5",0,0,0,1
"P2rx6",0,1,0,1
"P2ry2",0,0,1,0
"P3h3",0,0,0,1
"P4ha1",0,0,0,1
"Pa2g4",1,0,1,0
"Pabpc1l",0,0,0,1
"Pacrg",1,0,1,0
"Pacs2",0,0,0,1
"Pacsin1",0,1,0,1
"Paip1",0,0,1,0
"Pak3",0,0,0,1
"Pak4",0,0,1,0
"Palb2",1,0,1,0
"Palld",0,0,0,1
"Pals2",0,0,1,0
"Papln",0,0,0,1
"Pappa",0,1,0,1
"Pappa2",0,1,0,1
"Paqr7",0,1,0,1
"Pard6b",0,0,1,0
"Parm1",0,1,0,0
"Parp10",0,1,0,1
"Parp12",0,1,0,1
"Parp14",0,1,0,1
"Parp3",0,0,0,1
"Parp9",0,1,0,1
"Parpbp",1,0,1,0
"Parvb",1,0,1,0
"Pate14",1,0,1,0
"Patj",0,1,0,1
"Paxip1",0,0,1,0
"Paxx",0,1,0,1
"Pbdc1",0,0,1,0
"Pbk",1,0,1,0
"Pbld2",0,0,0,1
"Pbx4",0,1,0,1
"Pbxip1",0,1,0,1
"Pcdh18",1,0,1,0
"Pcdh19",0,1,0,0
"Pcdha9",0,1,0,1
"Pcdhb10",0,1,0,1
"Pcdhb11",0,1,0,1
"Pcdhb12",0,1,0,1
"Pcdhb13",0,1,0,1
"Pcdhb14",0,1,0,1
"Pcdhb15",0,1,0,1
"Pcdhb16",0,1,0,1
"Pcdhb17",0,1,0,1
"Pcdhb18",0,1,0,1
"Pcdhb19",0,1,0,1
"Pcdhb20",0,1,0,1
"Pcdhb21",0,1,0,1
"Pcdhb22",0,1,0,1
"Pcdhb3",0,1,0,1
"Pcdhb4",0,1,0,1
"Pcdhb5",0,1,0,1
"Pcdhb6",0,1,0,1
"Pcdhb7",0,1,0,1
"Pcdhb8",0,1,0,1
"Pcdhb9",0,1,0,1
"Pcdhga1",0,1,0,1
"Pcdhga12",0,1,0,1
"Pcdhga4",0,1,0,0
"Pcdhga6",0,1,0,1
"Pcdhgb8",0,1,0,1
"Pcdhgc3",0,0,0,1
"Pcdhgc5",0,0,0,1
"Pck2",0,0,1,0
"Pclaf",1,0,1,0
"Pcmtd1",0,0,0,1
"Pcmtd2",0,1,0,1
"Pcna",1,0,1,0
"Pcolce",0,0,0,1
"Pcolce2",1,0,1,0
"Pcsk4",0,1,0,1
"Pcsk9",1,0,1,0
"Pdap1",0,0,1,0
"Pdcd11",0,0,1,0
"Pdcd4",0,1,0,1
"Pde1b",0,0,0,1
"Pde2a",0,0,1,0
"Pde4a",0,1,0,1
"Pde4b",0,0,1,0
"Pde4d",0,1,0,1
"Pde8b",0,0,0,1
"Pdgfb",1,0,1,0
"Pdgfc",0,0,0,1
"Pdgfd",1,0,0,0
"Pdgfra",0,0,0,1
"Pdgfrb",0,1,0,1
"Pdia3",0,0,1,0
"Pdia4",1,0,1,0
"Pdia6",1,0,1,0
"Pdk1",0,1,0,1
"Pdk2",0,1,0,1
"Pdk4",0,1,0,1
"Pdlim1",1,0,0,0
"Pdlim2",0,0,0,1
"Pdlim7",1,0,1,0
"Pdp1",1,0,1,0
"Pdss1",1,0,1,0
"Pdxk",0,0,1,0
"Pdzd2",0,0,0,1
"Pdzd7",0,1,0,1
"Pdzk1",0,0,0,1
"Pdzk1ip1",0,0,0,1
"Pdzrn3",0,1,0,1
"Peak1",0,0,1,0
"Peg10",0,0,1,0
"Peli2",0,0,0,1
"Peli3",0,1,0,1
"Per1",0,0,0,1
"Per2",0,0,0,1
"Per3",0,1,0,1
"Perm1",0,1,0,1
"Pex5l",0,1,0,1
"Pex6",0,0,0,1
"Pfas",0,0,1,0
"Pfdn2",1,0,1,0
"Pfdn4",1,0,1,0
"Pfdn6",1,0,1,0
"Pfkfb2",0,0,0,1
"Pfkfb4",1,0,0,0
"Pgap6",0,1,0,1
"Pgf",0,0,1,0
"Pgm2l1",0,0,0,1
"Pgp",0,0,1,0
"Phactr1",0,0,0,1
"Phc2",0,0,1,0
"Pheta1",0,0,0,1
"Phex",0,0,1,0
"Phf10",0,0,1,0
"Phf11b",0,1,0,0
"Phf11d",0,1,0,0
"Phf19",1,0,1,0
"Phf21b",0,0,0,1
"Phf5a",0,0,1,0
"Phf7",0,0,0,1
"Phgdh",1,0,1,0
"Phkg1",0,0,0,1
"Phlda1",1,0,1,0
"Phyh",0,1,0,1
"Phyhd1",0,1,0,1
"Pi15",0,0,1,0
"Pianp",0,1,0,1
"Pidd1",0,0,0,1
"Pierce1",0,1,0,1
"Pierce2",0,1,0,1
"Pif1",1,0,1,0
"Piga",1,0,1,0
"Pigc",0,1,0,1
"Pigp",0,1,0,1
"Pik3ap1",0,0,1,0
"Pik3c2b",0,0,0,1
"Pik3ip1",0,1,0,1
"Pik3r1",0,0,0,1
"Pik3r2",0,0,0,1
"Pik3r3",0,1,0,1
"Pimreg",1,0,1,0
"Pin1",0,0,1,0
"Pink1",0,1,0,1
"Pinlyp",0,0,0,1
"Pinx1",0,0,1,0
"Pip5k1b",0,1,0,1
"Pip5kl1",0,0,0,1
"Pipox",0,1,0,1
"Pitpnc1",0,0,0,1
"Pitpnm2",0,0,0,1
"Pitpnm3",0,1,0,1
"Pkd2l2",0,1,0,1
"Pkmyt1",1,0,1,0
"Pkn3",1,0,1,0
"Pkp1",1,0,0,0
"Pla2g4c",0,0,1,0
"Plac8",1,0,1,0
"Plag1",0,0,0,1
"Plagl1",1,0,0,0
"Plat",0,0,1,0
"Plaur",1,0,1,0
"Plbd2",0,1,0,1
"Plcb2",0,1,0,0
"Plcb4",0,1,0,1
"Plcd1",0,0,0,1
"Plcd4",0,1,0,1
"Plce1",0,0,0,1
"Plch1",1,0,1,0
"Plch2",0,0,0,1
"Plcl1",1,0,0,0
"Pld3",0,1,0,1
"Plekha3",0,0,1,0
"Plekha4",0,1,0,1
"Plekha5",0,1,0,1
"Plekha7",0,0,0,1
"Plekhf1",0,0,0,1
"Plekhg5",0,1,0,1
"Plekhh1",0,0,1,0
"Plekhn1",0,1,0,1
"Plekho2",0,0,0,1
"Plet1",0,0,1,0
"Plin2",0,1,0,1
"Plin3",0,1,0,1
"Plin4",0,1,0,1
"Plin5",0,0,0,1
"Plk1",1,0,1,0
"Plk3",0,0,1,0
"Plk4",1,0,1,0
"Plp1",0,1,0,1
"Plppr2",0,0,0,1
"Plppr3",0,0,0,1
"Plscr1",0,0,1,0
"Plscr2",0,0,1,0
"Pltp",0,1,0,1
"Plxdc1",0,0,0,1
"Plxna2",0,0,0,1
"Plxna3",0,0,0,1
"Plxna4",0,0,0,1
"Plxnb1",0,0,0,1
"Plxnb3",0,1,0,1
"Plxnd1",1,0,1,0
"Pmf1",1,0,1,0
"Pmm1",0,1,0,1
"Pmp22",0,0,0,1
"Pmvk",1,0,1,0
"Pnma5",1,0,0,0
"Pnma8b",0,1,0,1
"Pno1",0,0,1,0
"Pnpla7",0,1,0,1
"Pnpt1",0,0,1,0
"Pnrc1",0,1,0,1
"Poc1a",1,0,1,0
"Podn",0,1,0,1
"Podnl1",1,0,1,0
"Podxl2",0,1,0,1
"Pofut2",0,0,1,0
"Pola1",1,0,1,0
"Pola2",1,0,1,0
"Pold1",1,0,1,0
"Pold2",0,0,1,0
"Pole",1,0,1,0
"Pole2",1,0,1,0
"Pole3",0,0,1,0
"Polg2",0,1,0,1
"Polh",0,0,1,0
"Polk",0,0,0,1
"Polm",0,0,0,1
"Polq",1,0,1,0
"Polr1a",0,0,1,0
"Polr1b",0,0,1,0
"Polr1e",1,0,1,0
"Polr3d",0,0,1,0
"Polr3e",0,0,1,0
"Polr3g",1,0,1,0
"Pop1",1,0,1,0
"Popdc3",0,0,1,0
"Porcn",0,1,0,1
"Postn",0,1,0,0
"Pou2f2",0,0,1,0
"Pou6f1",0,1,0,1
"Ppa1",1,0,1,0
"Ppan",0,0,1,0
"Ppara",0,0,0,1
"Ppargc1a",0,1,0,1
"Ppat",1,0,1,0
"Ppfibp2",0,1,0,1
"Ppid",0,0,1,0
"Ppif",0,0,1,0
"Ppih",1,0,1,0
"Ppil1",1,0,1,0
"Ppil6",0,0,0,1
"Ppip5k2",0,0,1,0
"Ppm1e",0,0,0,1
"Ppm1g",0,0,1,0
"Ppm1k",0,1,0,1
"Ppox",0,0,0,1
"Ppp1r14b",1,0,1,0
"Ppp1r16b",0,1,0,1
"Ppp1r1b",0,0,0,1
"Ppp1r27",0,0,0,1
"Ppp1r3c",0,1,0,1
"Ppp1r8",0,0,1,0
"Ppp2r2c",0,0,0,1
"Ppp3ca",0,0,0,1
"Pprc1",0,0,1,0
"Prag1",0,0,0,1
"Prc1",1,0,1,0
"Prdm1",0,0,0,1
"Prdm8",0,1,0,0
"Prelid3b",1,0,1,0
"Prelp",0,1,0,1
"Prep",0,0,1,0
"Prex1",0,0,0,1
"Prex2",1,0,1,0
"Prickle2",0,0,0,1
"Prim1",1,0,1,0
"Prim2",1,0,1,0
"Prkar2a",1,0,0,0
"Prkcb",0,0,1,0
"Prkce",0,1,0,1
"Prkcg",0,0,0,1
"Prkd2",0,1,0,1
"Prkg2",1,0,1,0
"Prl2c3",1,0,1,0
"Prlr",0,0,0,1
"Prmt1",0,0,1,0
"Prmt5",0,0,1,0
"Prmt7",1,0,1,0
"Prnp",0,1,0,1
"Prokr1",0,0,1,0
"Prokr2",1,0,1,0
"Pros1",0,1,0,1
"Proser2",0,0,0,1
"Prox1",1,0,1,0
"Prpf31",1,0,1,0
"Prps1",0,0,1,0
"Prr11",1,0,1,0
"Prr18",0,0,0,1
"Prr7",0,0,1,0
"Prrg2",0,1,0,1
"Prrg4",1,0,1,0
"Prrt2",0,1,0,1
"Prrx1",0,0,0,1
"Prss23",0,0,0,1
"Prss53",0,0,0,1
"Prtg",0,1,0,1
"Prune1",0,1,0,1
"Prx",0,0,0,1
"Prxl2a",1,0,1,0
"Psap",0,1,0,1
"Psat1",1,0,1,0
"Psd3",0,0,0,1
"Psma1",0,0,1,0
"Psma4",0,0,1,0
"Psma7",0,0,1,0
"Psmb8",0,1,0,1
"Psmb9",0,1,0,1
"Psmc4",0,0,1,0
"Psmd1",0,0,1,0
"Psmd11",0,0,1,0
"Psmd14",0,0,1,0
"Psmd7",0,0,1,0
"Psme3",1,0,1,0
"Psmg1",0,0,1,0
"Pspc1",0,0,0,1
"Psph",1,0,1,0
"Psrc1",0,0,0,1
"Ptbp1",0,0,1,0
"Ptcd3",0,0,1,0
"Ptchd1",0,0,1,0
"Ptchd4",0,0,1,0
"Ptgds",0,1,0,1
"Ptger4",0,0,1,0
"Ptges3",0,0,1,0
"Ptges3l",0,0,0,1
"Ptgs2",1,0,1,0
"Pthlh",1,0,1,0
"Ptma",0,0,1,0
"Ptp4a3",0,0,0,1
"Ptpdc1",0,0,0,1
"Ptpn5",1,0,1,0
"Ptpn6",0,0,1,0
"Ptprb",1,0,0,0
"Ptpre",0,0,0,1
"Ptprf",0,0,0,1
"Ptprn",1,0,1,0
"Ptprt",0,0,1,0
"Ptprv",0,1,0,1
"Pttg1",1,0,1,0
"Pum3",1,0,1,0
"Purb",0,0,1,0
"Pus7l",0,0,1,0
"Pvr",0,0,1,0
"Pwp1",0,0,1,0
"Pwp2",1,0,1,0
"Pwwp3b",1,0,0,0
"Pxmp4",0,0,0,1
"Pycr1",1,0,1,0
"Pygl",0,0,1,0
"Pygo1",0,1,0,1
"Qpct",0,0,1,0
"Qtrt2",0,0,1,0
"Rab11fip4",0,0,0,1
"Rab13",0,0,0,1
"Rab27b",1,0,1,0
"Rab30",1,0,0,0
"Rab32",1,0,0,0
"Rab34",0,0,0,1
"Rab36",0,0,0,1
"Rab39b",0,0,1,0
"Rab3d",0,0,0,1
"Rab3il1",0,1,0,1
"Rab40b",0,1,0,1
"Rabac1",0,1,0,0
"Rabgap1l",0,0,0,1
"Rabif",0,1,0,0
"Racgap1",1,0,1,0
"Rad18",1,0,1,0
"Rad50",0,0,1,0
"Rad51",1,0,1,0
"Rad51ap1",1,0,1,0
"Rad51b",1,0,1,0
"Rad54b",1,0,1,0
"Rad54l",1,0,1,0
"Rad9b",0,1,0,1
"Radx",0,0,1,0
"Raet1d",0,0,1,0
"Rai14",1,0,1,0
"Ralgds",0,1,0,1
"Ralgps1",0,1,0,1
"Ran",1,0,1,0
"Ranbp1",1,0,1,0
"Rangap1",1,0,1,0
"Rap1gap",1,0,1,0
"Rap2a",0,0,0,1
"Raph1",1,0,1,0
"Rapsn",0,1,0,1
"Rarb",0,0,1,0
"Rarres2",0,1,0,1
"Rasa2",0,0,1,0
"Rasa3",0,0,0,1
"Rasa4",0,0,0,1
"Rasgef1a",0,0,0,1
"Rasgef1b",0,1,0,0
"Rasl12",0,1,0,1
"Rassf4",0,1,0,1
"Rb1",0,0,0,1
"Rbbp8",1,0,1,0
"Rbl1",1,0,1,0
"Rbl2",0,0,0,1
"Rbm14",1,0,1,0
"Rbm19",1,0,1,0
"Rbm20",0,0,1,0
"Rbm24",0,1,0,1
"Rbm27",1,0,1,0
"Rbms3",0,0,0,1
"Rbmx2",1,0,1,0
"Rbpj",1,0,1,0
"Rcc1",1,0,1,0
"Rcc2",0,0,1,0
"Rcl1",0,0,1,0
"Rcsd1",0,0,0,1
"Rdh10",0,0,0,1
"Rdh5",0,0,0,1
"Rdh9",0,1,0,1
"Rdm1",0,1,0,1
"Recql4",1,0,1,0
"Reep2",0,1,0,1
"Reep4",0,0,1,0
"Reep6",0,0,1,0
"Relb",0,1,0,1
"Rell2",0,1,0,1
"Relt",0,0,1,0
"Repin1",0,1,0,0
"Resf1",0,1,0,1
"Ret",0,0,1,0
"Retreg3",0,1,0,0
"Rev3l",0,1,0,1
"Rexo2",0,0,1,0
"Rfc2",1,0,1,0
"Rfc3",1,0,1,0
"Rfc4",1,0,1,0
"Rfc5",1,0,1,0
"Rflnb",1,0,1,0
"Rfx2",0,0,0,1
"Rfx5",0,1,0,1
"Rgcc",0,1,0,1
"Rgma",0,1,0,1
"Rgs14",0,0,1,0
"Rgs19",0,0,1,0
"Rgs2",1,0,0,0
"Rgs7",1,0,1,0
"Rgs9bp",0,1,0,1
"Rhbdl1",0,0,0,1
"Rhbdl3",0,0,0,1
"Rhd",0,1,0,1
"Rhof",0,0,1,0
"Rhox5",1,0,1,0
"Rhpn1",0,0,0,1
"Rhpn2",1,0,1,0
"Ric3",0,0,1,0
"Rigi",0,1,0,1
"Rimbp2",1,0,0,0
"Rin1",1,0,1,0
"Rin2",0,1,0,1
"Riok2",0,0,1,0
"Ripor2",1,0,0,0
"Rmdn1",0,0,0,1
"Rmi2",1,0,1,0
"Rnase1",0,1,0,1
"Rnase4",0,1,0,1
"Rnasel",0,1,0,1
"Rnd1",1,0,1,0
"Rnd2",0,0,0,1
"Rnf122",0,1,0,1
"Rnf135",0,0,0,1
"Rnf144a",0,1,0,0
"Rnf144b",0,0,0,1
"Rnf145",1,0,1,0
"Rnf152",0,1,0,1
"Rnf167",0,1,0,1
"Rnf19b",1,0,1,0
"Rnf207",0,1,0,1
"Rnf213",0,1,0,0
"Rnf32",0,0,0,1
"Rom1",0,1,0,1
"Rora",0,1,0,1
"Rorc",0,1,0,1
"Rpa1",0,0,1,0
"Rpa2",1,0,1,0
"Rpf2",1,0,1,0
"Rpia",1,0,1,0
"Rpl39",0,1,0,0
"Rpl7l1",0,0,1,0
"Rpn1",1,0,1,0
"Rpn2",0,0,1,0
"Rpp30",0,0,1,0
"Rps21",0,1,0,0
"Rps27",0,1,0,0
"Rps27rt",0,1,0,0
"Rps6ka2",1,0,1,0
"Rps6ka3",0,0,1,0
"Rps6ka4",0,0,1,0
"Rps6ka6",1,0,1,0
"Rragd",0,0,0,1
"Rras",0,0,0,1
"Rras2",1,0,1,0
"Rrm1",1,0,1,0
"Rrm2",1,0,1,0
"Rrp12",1,0,1,0
"Rrp15",1,0,1,0
"Rrp1b",1,0,1,0
"Rrp9",0,0,1,0
"Rrs1",1,0,1,0
"Rsad2",0,1,0,0
"Rsph9",0,1,0,1
"Rsrp1",0,0,0,1
"Rtkn",0,0,0,1
"Rtkn2",1,0,1,0
"Rtl8c",0,0,0,1
"Rtn2",0,0,0,1
"Rtn4r",0,1,0,1
"Rtn4rl1",0,0,0,1
"Rtp4",0,1,0,1
"Rubcnl",0,1,0,1
"Rufy4",0,1,0,1
"Rundc3a",0,1,0,1
"Ruvbl1",1,0,1,0
"Ruvbl2",1,0,1,0
"Rwdd4a",0,0,1,0
"Ryr3",0,0,0,1
"S100a13",0,0,0,1
"S100a4",1,0,1,0
"S100a7a",0,1,0,1
"S1pr2",0,1,0,1
"Samd14",0,0,0,1
"Samd4b",0,0,1,0
"Samd9l",0,1,0,0
"Sapcd2",1,0,1,0
"Sardh",0,0,0,1
"Sarm1",0,0,0,1
"Sarnp",0,0,1,0
"Sash1",0,1,0,1
"Sash3",0,0,1,0
"Sass6",1,0,1,0
"Sbk2",0,1,0,1
"Sbk3",0,0,0,1
"Sbsn",0,0,0,1
"Sc5d",1,0,1,0
"Scand1",0,1,0,0
"Scara5",0,1,0,0
"Scd1",1,0,1,0
"Scd2",1,0,1,0
"Scd4",0,0,1,0
"Scg2",0,1,0,1
"Scml4",0,1,0,1
"Scn11a",0,1,0,0
"Scn1b",0,1,0,1
"Scn3b",0,0,0,1
"Scn5a",0,0,1,0
"Scnn1a",0,0,0,1
"Scx",0,1,0,1
"Sdad1",0,0,1,0
"Sdc2",0,1,0,1
"Sdc3",0,0,0,1
"Sdf2",0,1,0,1
"Sdf2l1",1,0,1,0
"Sdk2",0,1,0,1
"Sec1",0,0,1,0
"Sec11c",0,0,1,0
