"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"105","Cenpe","Camk2n1",NA,"Gvin1","Ckap5","Cbln3"
"106","Cenpf","Caprin2",NA,"H1f3","Cldn12","Cbx7"
"107","Cenph","Car11",NA,"H2bc23","Clns1a","Ccdc148"
"108","Cenpi","Carmil1",NA,"H2bc8","Clpb","Ccdc159"
"109","Cenpk","Carmil3",NA,"H3c15","Cmah","Ccdc24"
"110","Cenpl","Casp1",NA,"H4c12","Cmss1","Ccdc39"
"111","Cenpm","Casp12",NA,"H4c9","Cnbp","Ccdc65"
"112","Cenpn","Casq2",NA,"Helz2","Cnnm4","Ccdc80"
"113","Cenpp","Casr",NA,"Herc6","Cnot9","Ccdc87"
"114","Cenpq","Ccdc13",NA,"Hlf","Coq3","Ccl27a"
"115","Cenps","Ccdc17",NA,"Hmcn1","Coq7","Ccl7"
"116","Cenpu","Ccdc194",NA,"Ifi204","Coro1c","Ccn1"
"117","Cenpw","Ccdc3",NA,"Ifi207","Cox7a1","Ccn4"
"118","Cep152","Ccdc73",NA,"Ifi211","Cpne7","Ccndbp1"
"119","Cep192","Ccdc92b",NA,"Ifi35","Cracdl","Ccng1"
"120","Cep55","Ccl2",NA,"Il10rb","Creb5","Ccnl2"
"121","Cgnl1","Ccno",NA,"Il4ra","Crls1","Cd46"
"122","Chaf1a","Ccpg1",NA,"Il6","Crybg3","Cd59a"
"123","Chaf1b","Cd109",NA,"Immp2l","Cse1l","Cd81"
"124","Chek1","Cd1d1",NA,"Inpp5a","Csrnp1","Cd99l2"
"125","Chek2","Cd68",NA,"Insr","Cxadr","Cdc42ep2"
"126","Chka","Cd79a",NA,"Isg20","Cyb5r1","Cdh13"
"127","Chrna1","Cd80",NA,"Itga2","Daam2","Cdh22"
"128","Chst1","Cdc42bpg",NA,"Itih2","Dach2","Cdkn1a"
"129","Chst11","Cdk19",NA,"Junb","Dad1","Cdkn1b"
"130","Chst15","Cebpa",NA,"Kbtbd11","Dazap1","Celsr3"
"131","Chst3","Cebpd",NA,"Kcnmb1","Dbr1","Cfap100"
"132","Chtf18","Celf5",NA,"Kcp","Ddc","Cfap43"
"133","Ciart","Cers1",NA,"Klf11","Ddost","Cfap46"
"134","Cinp","Chchd10",NA,"Klf12","Ddx20","Cfap97d2"
"135","Cip2a","Chrd",NA,"Klf9","Ddx3x","Chchd5"
"136","Ckap2","Chrnb2",NA,"Kng2","Denr","Chd3"
"137","Ckap2l","Chrng",NA,"Lcn2","Deptor","Cib2"
"138","Cks1b","Chst2",NA,"Lgals3bp","Dera","Cib3"
"139","Cks2","Cideb",NA,"Lmo2","Derpc","Cibar2"
"140","Clec4d","Cir1",NA,"Lrguk","Dhcr7","Cirbp"
"141","Clgn","Ckb",NA,"Lrrc32","Dhodh","Cldn19"
"142","Clspn","Clcn2",NA,"Ly6e","Dicer1","Clip3"
"143","Cmc2","Clec2d",NA,"Map3k8","Dimt1","Cnih2"
"144","Coa7","Clic5",NA,"Marveld1","Disp2","Cnp"
"145","Col18a1","Clk1",NA,"Mfsd13b","Dnaaf2","Cntd1"
"146","Col4a3","Cln6",NA,"Mndal","Dnajb5","Col27a1"
"147","Col4a4","Clu",NA,"Mocos","Dnajc11","Col2a1"
"148","Cpsf2","Cnbd2",NA,"Mpeg1","Dnajc2","Col4a6"
"149","Creld2","Cnppd1",NA,"Mppe1","Dnajc21","Col6a1"
"150","Crym","Cntfr",NA,"Ms4a4d","Dnajc25","Col6a2"
"151","Csrp2","Cntn6",NA,"Mtus2","Dnajc3","Col8a1"
"152","Cstf2","Col11a2",NA,"Myo1d","Dolpp1","Coro1a"
"153","Cth","Col20a1",NA,"Nfkbie","Donson","Cpeb1"
"154","Cx3cl1","Col23a1",NA,"Nhlrc3","Dpy30","Cpne8"
"155","Cyb5b","Col3a1",NA,"Nid1","Dtymk","Cpped1"
"156","Cycs","Col4a5",NA,"Nlgn2","Dusp22","Creb3l1"
"157","Cyp1a1","Col6a3",NA,"Nmi","Dusp3","Crim1"
"158","Cyp4f40","Col9a3",NA,"Nmrk2","Dusp8","Crip2"
