"","x"
"728","Srpk1"
"729","Ssrp1"
"730","St3gal1"
"731","Stard4"
"732","Stc1"
"733","Steap1"
"734","Stil"
"735","Stip1"
"736","Stmn1"
"737","Stox2"
"738","Suv39h2"
"739","Swap70"
"740","Syde1"
"741","Syn1"
"742","Syncrip"
"743","Synj2"
"744","Tacc3"
"745","Taf6l"
"746","Tagln2"
"747","Tamm41"
"748","Tbc1d1"
"749","Tbc1d9"
"750","Tcf19"
"751","Tcof1"
"752","Tead4"
"753","Tedc1"
"754","Tes"
"755","Tex30"
"756","Tfdp1"
"757","Thap12"
"758","Ticrr"
"759","Tigar"
"760","Timeless"
"761","Timm8a1"
"762","Tinagl1"
"763","Tinf2"
"764","Tipin"
"765","Tjp2"
"766","Tk1"
"767","Tm7sf2"
"768","Tmem171"
"769","Tmem200a"
"770","Tmem97"
"771","Tmod2"
"772","Tmpo"
"773","Tnfaip2"
"774","Tnfaip8l1"
"775","Tnfrsf12a"
"776","Tnfrsf21"
"777","Tnnt2"
"778","Tonsl"
"779","Top2a"
"780","Topbp1"
"781","Tpm3"
"782","Tpx2"
"783","Traip"
"784","Trhde"
"785","Trim16"
"786","Trim54"
"787","Trim59"
"788","Trim9"
"789","Trip13"
"790","Troap"
"791","Tsr1"
"792","Ttc39b"
"793","Ttk"
"794","Tuba1b"
"795","Tuba1c"
"796","Tubb3"
"797","Tubb4b"
"798","Tubb6"
"799","Tubg1"
"800","Twist2"
"801","Tyms"
"802","Ubash3b"
"803","Ube2c"
"804","Ube2ql1"
"805","Ube2s"
"806","Ube2t"
"807","Ublcp1"
"808","Uck2"
"809","Uhrf1"
"810","Umps"
"811","Uso1"
"812","Usp1"
"813","Usp10"
"814","Usp17la"
"815","Utp6"
"816","Vgf"
"817","Vrk1"
"818","Wdhd1"
"819","Wdr36"
"820","Wdr43"
"821","Wdr46"
"822","Wdr62"
"823","Wdr76"
"824","Wdr77"
"825","Wif1"
"826","Wnk3"
"827","Wnt7a"
"828","Wnt7b"
"829","Wwc1"
"830","Xkr5"
"831","Xpo5"
"832","Xrcc2"
"833","Xrcc6"
"834","Ywhag"
"835","Ywhah"
"836","Zfp101"
"837","Zfp367"
"838","Zfp36l2"
"839","Zfp961"
"840","Zgrf1"
"841","Zmiz1"
"842","Zmynd19"
"843","Znrd2"
"844","Zwilch"
